PointInTime,InterbankRate,InverseInterbankRate
20150428,0.802446,1.246189
20150429,0.800821,1.248719
20150430,0.799978,1.250034
20150501,0.799991,1.250015
20150502,0.799958,1.250066
20150503,0.799901,1.250154
20150504,0.799901,1.250154
20150505,0.800779,1.248785
20150506,0.800483,1.249245
20150507,0.799664,1.250525
20150508,0.800684,1.248933
20150509,0.800681,1.248937
20150510,0.800678,1.248941
20150511,0.800678,1.248941
20150512,0.801418,1.247789
20150513,0.80096,1.248502
20150514,0.800427,1.249334
20150515,0.800146,1.249773
20150516,0.80072,1.248876
20150517,0.800684,1.248933
20150518,0.800684,1.248933
20150519,0.800445,1.249305
20150520,0.800715,1.248884
20150521,0.800238,1.249628
20150522,0.799193,1.251262
20150523,0.799512,1.250763
20150524,0.799487,1.250803
20150525,0.799487,1.250803
20150526,0.800051,1.249921
20150527,0.80025,1.249609
20150528,0.79927,1.251141
20150529,0.79976,1.250375
20150530,0.799467,1.250833
20150531,0.799461,1.250843
20150601,0.799461,1.250843
20150602,0.799266,1.251148
20150603,0.799056,1.251476
20150604,0.799355,1.251008
20150605,0.79985,1.250235
20150606,0.800108,1.249831
20150607,0.800243,1.249621
20150608,0.800243,1.249621
20150609,0.800503,1.249215
20150610,0.800405,1.249368
20150611,0.800478,1.249254
20150612,0.800569,1.249112
20150613,0.800777,1.248787
20150614,0.800761,1.248812
20150615,0.800761,1.248812
20150616,0.800865,1.24865
20150617,0.800897,1.2486
20150618,0.800906,1.248586
20150619,0.800743,1.248839
20150620,0.801069,1.248332
20150621,0.801071,1.248329
20150622,0.801071,1.248329
20150623,0.801055,1.248353
20150624,0.80057,1.249111
20150625,0.800671,1.248952
20150626,0.800973,1.248481
20150627,0.800929,1.24855
20150628,0.800934,1.248542
20150629,0.800934,1.248542
20150630,0.800839,1.248691
20150701,0.799931,1.250108
20150702,0.799967,1.250051
20150703,0.800418,1.249346
20150704,0.800426,1.249335
20150705,0.800457,1.249287
20150706,0.800457,1.249287
20150707,0.800865,1.24865
20150708,0.80072,1.248876
20150709,0.800939,1.248535
20150710,0.800963,1.248497
20150711,0.801026,1.248399
20150712,0.801061,1.248344
20150713,0.801066,1.248337
20150714,0.800848,1.248676
20150715,0.800992,1.248451
20150716,0.801076,1.24832
20150717,0.801126,1.248244
20150718,0.801159,1.248192
20150719,0.801179,1.248161
20150720,0.801179,1.248161
20150721,0.801181,1.248158
20150722,0.801143,1.248217
20150723,0.801172,1.248171
20150724,0.801104,1.248277
20150725,0.801073,1.248325
20150726,0.801072,1.248328
20150727,0.801072,1.248328
20150728,0.801103,1.248279
20150729,0.801065,1.248338
20150730,0.801,1.24844
20150731,0.800945,1.248525
20150801,0.801035,1.248386
20150802,0.800958,1.248506
20150803,0.800958,1.248506
20150804,0.800912,1.248577
20150805,0.800837,1.248694
20150806,0.801003,1.248436
20150807,0.801157,1.248196
20150808,0.80104,1.248377
20150809,0.801014,1.248418
20150810,0.801014,1.248418
20150811,0.800964,1.248495
20150812,0.814832,1.227246
20150813,0.823487,1.214348
20150814,0.825231,1.211782
20150815,0.824141,1.213385
20150816,0.8241,1.213445
20150817,0.8241,1.213445
20150818,0.824598,1.212712
20150819,0.824483,1.212881
20150820,0.824913,1.212249
20150821,0.824206,1.213288
20150822,0.824192,1.213309
20150823,0.824122,1.213413
20150824,0.824122,1.213413
20150825,0.826084,1.210531
20150826,0.827238,1.208842
20150827,0.827035,1.209139
20150828,0.826478,1.209954
20150829,0.824327,1.213111
20150830,0.824329,1.213107
20150831,0.824329,1.213107
20150901,0.822758,1.215424
20150902,0.821222,1.217698
20150903,0.820112,1.219346
20150904,0.820056,1.219428
20150905,0.820107,1.219354
20150906,0.820096,1.219369
20150907,0.820096,1.219369
20150908,0.821398,1.217437
20150909,0.821452,1.217356
20150910,0.8228,1.215362
